"genome"	"Sample_name"	"Relative_abundance"	"Completeness"	"Contamination"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Family_genus"	"Family_genus_bin"	"DNA_kit"	"Storage"	"Volume_used"
"MBSoxNitrifying2mlFrozenRep2_complete.2"	"NitrifyingCombined.fastq.gz"	1.2992	99.42	2.8	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Aggregatilineales*"	"*Phototrophicaceae*"	"*JAIOHN01*"	"**Unidentified species**"	"*Phototrophicaceae*, *JAIOHN01*"	"*Phototrophicaceae*, *JAIOHN01* (MBSoxNitrifying2mlFrozenRep2_complete.2)"	"Combined data"	""	"Combined"
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.44"	"NitrifyingCombined.fastq.gz"	0.5214	99.1	0.02	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Xanthobacteraceae*"	"*Ga0077548*"	"**Unidentified species**"	"*Xanthobacteraceae*, *Ga0077548*"	"*Xanthobacteraceae*, *Ga0077548* (MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.44)"	"Combined data"	""	"Combined"
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.50"	"NitrifyingCombined.fastq.gz"	0.4811	95.04	0.19	"d__Bacteria"	"*Verrucomicrobiota*"	"*Verrucomicrobiae*"	"*Chthoniobacterales*"	"*Xiphinematobacteraceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Xiphinematobacteraceae*, **Unidentified genus**"	"*Xiphinematobacteraceae*, **Unidentified genus** (MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.50)"	"Combined data"	""	"Combined"
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_semibin2_4"	"NitrifyingCombined.fastq.gz"	1.4066	97.67	2.88	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Aggregatilineales*"	"*Phototrophicaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Phototrophicaceae*, **Unidentified genus**"	"*Phototrophicaceae*, **Unidentified genus** (MBSoxNitrifying2mlFrozenRep2_metaMDBG_semibin2_4)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_complete.10"	"NitrifyingCombined.fastq.gz"	1.2573	96.34	0.3	"d__Bacteria"	"*Verrucomicrobiota*"	"*Verrucomicrobiae*"	"*Opitutales*"	"*UBA2995*"	"**Unidentified genus**"	"**Unidentified species**"	"*UBA2995*, **Unidentified genus**"	"*UBA2995*, **Unidentified genus** (MBSoxNitrifying4mlFreshRep3_complete.10)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_complete.11"	"NitrifyingCombined.fastq.gz"	9.7271	100	0.49	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Xanthobacteraceae*"	"*Nitrobacter*"	"**Unidentified species**"	"*Xanthobacteraceae*, *Nitrobacter*"	"*Xanthobacteraceae*, *Nitrobacter* (MBSoxNitrifying4mlFreshRep3_complete.11)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_complete.19"	"NitrifyingCombined.fastq.gz"	0.6991	95.63	0.15	"d__Bacteria"	"*Planctomycetota*"	"*Planctomycetia*"	"*Gemmatales*"	"*Gemmataceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Gemmataceae*, **Unidentified genus**"	"*Gemmataceae*, **Unidentified genus** (MBSoxNitrifying4mlFreshRep3_complete.19)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_complete.2"	"NitrifyingCombined.fastq.gz"	0.9069	100	1.59	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Flavitalea*"	"**Unidentified species**"	"*Chitinophagaceae*, *Flavitalea*"	"*Chitinophagaceae*, *Flavitalea* (MBSoxNitrifying4mlFreshRep3_complete.2)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_complete.26"	"NitrifyingCombined.fastq.gz"	0.8666	99.85	0.11	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Flavobacteriaceae*"	"*Flavobacterium*"	"**Unidentified species**"	"*Flavobacteriaceae*, *Flavobacterium*"	"*Flavobacteriaceae*, *Flavobacterium* (MBSoxNitrifying4mlFreshRep3_complete.26)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.19"	"NitrifyingCombined.fastq.gz"	0.4679	99.95	0.42	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Flavobacteriaceae*"	"*Arenibacter*"	"**Unidentified species**"	"*Flavobacteriaceae*, *Arenibacter*"	"*Flavobacteriaceae*, *Arenibacter* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.19)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.26"	"NitrifyingCombined.fastq.gz"	0.8893	99.14	0	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*PHOS-HE28*"	"*PHOS-HE28*"	"*PHOS-HE28 sp019638085*"	"*PHOS-HE28*, *PHOS-HE28*"	"*PHOS-HE28*, *PHOS-HE28* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.26)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	"NitrifyingCombined.fastq.gz"	0.9565	100	0.06	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Terrimonas_A*"	"**Unidentified species**"	"*Chitinophagaceae*, *Terrimonas_A*"	"*Chitinophagaceae*, *Terrimonas_A* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.48"	"NitrifyingCombined.fastq.gz"	45.958	99.33	0.07	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Nitrosomonadaceae*"	"*Nitrosospira*"	"**Unidentified species**"	"*Nitrosomonadaceae*, *Nitrosospira*"	"*Nitrosomonadaceae*, *Nitrosospira* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.48)"	"Combined data"	""	"Combined"
"MBSoxNitrifying4mlFreshRep3_semibin2_3"	"NitrifyingCombined.fastq.gz"	0.0252	84.1	2.49	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*HIGH02-12-38-15*"	"*HIGH02-12-38-15*"	"*HIGHO2-12-38-15*"	"**Unidentified species**"	"*HIGH02-12-38-15*, *HIGHO2-12-38-15*"	"*HIGH02-12-38-15*, *HIGHO2-12-38-15* (MBSoxNitrifying4mlFreshRep3_semibin2_3)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.10"	"NitrifyingCombined.fastq.gz"	0.6041	94.03	0.74	"d__Bacteria"	"*Desulfobacterota_D*"	"*UBA1144*"	"*UBA2774*"	"*UBA2774*"	"*JADLGH01*"	"*JADLGH01 sp020849425*"	"*UBA2774*, *JADLGH01*"	"*UBA2774*, *JADLGH01* (NitrifyingCombined_complete.10)"	"Combined data"	""	"Combined"
