"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"	"kegg_ID_custom_order"
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	623.520516871999	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	665.932919667117	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	677.050233013664	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	26.1225928681674	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	186.144285721609	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	34.6237971637395	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	517.537186094883	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	514.018272536153	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	573.723266919387	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	273.10678343426	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	349.910972137073	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	419.780530539229	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	309.216907957326	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	280.358407889953	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	97.1070197082051	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	105.447067169029	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	76.2753943117891	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	445.534696536592	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	462.208772456412	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	549.010246955459	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	251.229816878629	"K10944; methane/ammonia monooxygenase subunit A"
