"Sample_ID"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"RNA_vs_RNA"
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	"1"	"RNA"
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	"2"	"RNA"
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	"3"	"RNA"
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	"1"	"RNA"
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	"2"	"RNA"
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	"3"	"RNA"
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	"1"	"RNA"
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	"2"	"RNA"
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	"3"	"RNA"
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	"1"	"RNA"
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	"2"	"RNA"
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	"1"	"RNA"
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	"2"	"RNA"
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	"1"	"RNA"
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	"2"	"RNA"
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	"3"	"RNA"
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	"3"	"RNA"
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	"1"	"RNA"
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"Week 8"	"Nitrate reduction"	"2"	"RNA"
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"Week 8"	"Sulphate reduction"	"1"	"RNA"
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"Week 8"	"Sulphate reduction"	"2"	"RNA"
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	"3"	"RNA"
