"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	424.059
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	404.239
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	379.107
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	2453.088
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	1110.055
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	945.642
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	407.895
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	416.031
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	402.425
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	626.751
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	523.898
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	554.784
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	599.081
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	597.237
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	1235.886
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	1125.834
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	729.798
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	451.783
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	420.485
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	406.169
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	671.378
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	664.304
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	394.42
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	525.334
